code	Nom prénom	nb voix	% voix	Nom prénom	nb voix	% voix
01	MACRON Emmanuel	166635	38,02	LE PEN Marine	136370	31,12	
02	MACRON Emmanuel	102428	27,41	LE PEN Marine	153069	40,97	
03	MACRON Emmanuel	87645	35,06	LE PEN Marine	79762	31,91	
04	MACRON Emmanuel	41659	32,53	LE PEN Marine	44139	34,46	
05	MACRON Emmanuel	42213	37,18	LE PEN Marine	34446	30,34	
06	MACRON Emmanuel	261989	33,64	LE PEN Marine	260629	33,47	
07	MACRON Emmanuel	90053	35,19	LE PEN Marine	81705	31,93	
08	MACRON Emmanuel	55093	29,58	LE PEN Marine	72040	38,69	
09	MACRON Emmanuel	39298	33,01	LE PEN Marine	37616	31,60	
10	MACRON Emmanuel	68840	33,48	LE PEN Marine	73625	35,81	
11	MACRON Emmanuel	85465	30,53	LE PEN Marine	104038	37,16	
12	MACRON Emmanuel	89955	40,99	LE PEN Marine	59790	27,24	
13	MACRON Emmanuel	481129	34,08	LE PEN Marine	442759	31,37	
14	MACRON Emmanuel	218579	42,67	LE PEN Marine	143960	28,11	
15	MACRON Emmanuel	45015	38,89	LE PEN Marine	35261	30,47	
16	MACRON Emmanuel	95656	37,15	LE PEN Marine	78087	30,32	
17	MACRON Emmanuel	201159	38,76	LE PEN Marine	156020	30,07	
18	MACRON Emmanuel	77739	34,63	LE PEN Marine	70160	31,26	
19	MACRON Emmanuel	68272	36,90	LE PEN Marine	54131	29,26	
2A	MACRON Emmanuel	26144	22,95	LE PEN Marine	36584	32,12	
2B	MACRON Emmanuel	29951	23,20	LE PEN Marine	41137	31,87	
21	MACRON Emmanuel	144545	39,40	LE PEN Marine	107866	29,41	
22	MACRON Emmanuel	209721	44,46	LE PEN Marine	123689	26,22	
23	MACRON Emmanuel	30554	33,59	LE PEN Marine	28153	30,95	
24	MACRON Emmanuel	111182	34,95	LE PEN Marine	104687	32,91	
25	MACRON Emmanuel	141917	38,52	LE PEN Marine	106348	28,86	
26	MACRON Emmanuel	143697	37,59	LE PEN Marine	114217	29,88	
27	MACRON Emmanuel	146751	33,95	LE PEN Marine	155086	35,88	
28	MACRON Emmanuel	109744	36,10	LE PEN Marine	96185	31,64	
29	MACRON Emmanuel	332396	46,83	LE PEN Marine	160073	22,55	
30	MACRON Emmanuel	177669	32,00	LE PEN Marine	193666	34,88	
31	MACRON Emmanuel	409622	44,02	LE PEN Marine	226250	24,31	
32	MACRON Emmanuel	55559	37,73	LE PEN Marine	44188	30,01	
33	MACRON Emmanuel	484771	41,84	LE PEN Marine	305112	26,34	
34	MACRON Emmanuel	297066	35,05	LE PEN Marine	267908	31,61	
35	MACRON Emmanuel	390330	50,57	LE PEN Marine	159930	20,72	
36	MACRON Emmanuel	57558	34,66	LE PEN Marine	54429	32,78	
37	MACRON Emmanuel	188421	42,75	LE PEN Marine	112019	25,42	
38	MACRON Emmanuel	359596	40,60	LE PEN Marine	241584	27,28	
39	MACRON Emmanuel	68846	36,11	LE PEN Marine	60884	31,94	
40	MACRON Emmanuel	128363	38,97	LE PEN Marine	98682	29,96	
41	MACRON Emmanuel	91360	37,34	LE PEN Marine	78434	32,06	
42	MACRON Emmanuel	194879	37,92	LE PEN Marine	149174	29,02	
43	MACRON Emmanuel	62372	34,51	LE PEN Marine	61980	34,30	
44	MACRON Emmanuel	505179	47,79	LE PEN Marine	221934	20,99	
45	MACRON Emmanuel	180882	39,51	LE PEN Marine	133331	29,13	
46	MACRON Emmanuel	55130	39,59	LE PEN Marine	38032	27,31	
47	MACRON Emmanuel	81013	33,57	LE PEN Marine	82619	34,24	
48	MACRON Emmanuel	22067	36,90	LE PEN Marine	18647	31,18	
49	MACRON Emmanuel	274813	46,62	LE PEN Marine	138261	23,46	
50	MACRON Emmanuel	159815	41,55	LE PEN Marine	108294	28,15	
51	MACRON Emmanuel	136025	35,72	LE PEN Marine	125046	32,84	
52	MACRON Emmanuel	38230	29,54	LE PEN Marine	50586	39,09	
53	MACRON Emmanuel	102263	45,49	LE PEN Marine	57006	25,36	
54	MACRON Emmanuel	179237	36,41	LE PEN Marine	150177	30,51	
55	MACRON Emmanuel	41930	31,10	LE PEN Marine	52499	38,95	
56	MACRON Emmanuel	269755	44,27	LE PEN Marine	159717	26,21	
57	MACRON Emmanuel	249556	33,45	LE PEN Marine	244993	32,83	
58	MACRON Emmanuel	50556	32,78	LE PEN Marine	50779	32,92	
59	MACRON Emmanuel	633569	34,91	LE PEN Marine	565618	31,17	
60	MACRON Emmanuel	182791	32,40	LE PEN Marine	203866	36,13	
61	MACRON Emmanuel	79275	38,57	LE PEN Marine	64551	31,40	
62	MACRON Emmanuel	323661	29,59	LE PEN Marine	437820	40,03	
63	MACRON Emmanuel	188468	40,26	LE PEN Marine	124825	26,66	
64	MACRON Emmanuel	219719	42,26	LE PEN Marine	128742	24,76	
65	MACRON Emmanuel	65085	36,68	LE PEN Marine	52182	29,41	
66	MACRON Emmanuel	105893	29,24	LE PEN Marine	136610	37,72	
67	MACRON Emmanuel	319370	41,00	LE PEN Marine	221958	28,49	
68	MACRON Emmanuel	191814	36,06	LE PEN Marine	170781	32,11	
69	MACRON Emmanuel	550592	46,59	LE PEN Marine	251470	21,28	
70	MACRON Emmanuel	53098	29,88	LE PEN Marine	70052	39,42	
71	MACRON Emmanuel	144990	35,98	LE PEN Marine	126860	31,48	
72	MACRON Emmanuel	154909	37,67	LE PEN Marine	124658	30,31	
73	MACRON Emmanuel	125676	39,18	LE PEN Marine	92337	28,79	
74	MACRON Emmanuel	236764	41,84	LE PEN Marine	147032	25,99	
75	MACRON Emmanuel	808107	59,05	LE PEN Marine	141405	10,33	
76	MACRON Emmanuel	332146	37,76	LE PEN Marine	268699	30,55	
77	MACRON Emmanuel	328698	36,53	LE PEN Marine	248317	27,60	
78	MACRON Emmanuel	464913	48,35	LE PEN Marine	189475	19,70	
79	MACRON Emmanuel	117804	43,11	LE PEN Marine	71801	26,28	
80	MACRON Emmanuel	140763	34,34	LE PEN Marine	146537	35,75	
81	MACRON Emmanuel	106768	35,81	LE PEN Marine	94441	31,67	
82	MACRON Emmanuel	62503	33,12	LE PEN Marine	67770	35,91	
83	MACRON Emmanuel	252720	30,78	LE PEN Marine	310137	37,77	
84	MACRON Emmanuel	134476	32,66	LE PEN Marine	145707	35,39	
85	MACRON Emmanuel	244494	44,36	LE PEN Marine	150772	27,35	
86	MACRON Emmanuel	125138	40,88	LE PEN Marine	83024	27,13	
87	MACRON Emmanuel	103329	39,17	LE PEN Marine	71263	27,02	
88	MACRON Emmanuel	91542	32,94	LE PEN Marine	100853	36,29	
89	MACRON Emmanuel	78038	32,79	LE PEN Marine	83170	34,95	
90	MACRON Emmanuel	31987	34,13	LE PEN Marine	30202	32,22	
91	MACRON Emmanuel	338569	42,33	LE PEN Marine	178908	22,37	
92	MACRON Emmanuel	552124	55,31	LE PEN Marine	134685	13,49	
93	MACRON Emmanuel	326057	41,05	LE PEN Marine	116225	14,63	
94	MACRON Emmanuel	376204	47,22	LE PEN Marine	128873	16,17	
95	MACRON Emmanuel	299829	40,86	LE PEN Marine	153446	20,91	
ZA	MACRON Emmanuel	40229	12,73	LE PEN Marine	92106	29,15	
ZB	MACRON Emmanuel	46918	15,40	LE PEN Marine	73000	23,96	
ZC	MACRON Emmanuel	13834	13,42	LE PEN Marine	21437	20,80	
ZD	MACRON Emmanuel	147297	21,79	LE PEN Marine	216967	32,09	
ZM	MACRON Emmanuel	15708	17,00	LE PEN Marine	22694	24,56	
ZN	MACRON Emmanuel	43795	20,02	LE PEN Marine	27960	12,78	
ZP	MACRON Emmanuel	42890	20,86	LE PEN Marine	39913	19,41	
ZS	MACRON Emmanuel	1243	24,65	LE PEN Marine	1278	25,34	
ZW	MACRON Emmanuel	3831	40,27	LE PEN Marine	1849	19,43	
ZX	MACRON Emmanuel	3850	15,76	LE PEN Marine	4787	19,59	
ZZ	MACRON Emmanuel	458874	32,14	LE PEN Marine	73830	5,17	
